,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
28430,2018,CALIFORNIA,CA,6,93,71,US HOUSE,47,GEN,,False,JOHN BRISCOE,REPUBLICAN,False,TOTAL,77682,221036,False,20230706,False
28431,2018,CALIFORNIA,CA,6,93,71,US HOUSE,48,GEN,,False,DANA ROHRABACHER,REPUBLICAN,False,TOTAL,136899,294736,False,20230706,False
28432,2018,CALIFORNIA,CA,6,93,71,US HOUSE,48,GEN,,False,HARLEY ROUDA,DEMOCRAT,False,TOTAL,157837,294736,False,20230706,False
28433,2018,CALIFORNIA,CA,6,93,71,US HOUSE,49,GEN,,False,DIANE L HARKEY,REPUBLICAN,False,TOTAL,128577,295030,False,20230706,False
28434,2018,CALIFORNIA,CA,6,93,71,US HOUSE,49,GEN,,False,MIKE LEVIN,DEMOCRAT,False,TOTAL,166453,295030,False,20230706,False
28435,2018,CALIFORNIA,CA,6,93,71,US HOUSE,50,GEN,,False,AMMAR CAMPA-NAJJAR,DEMOCRAT,False,TOTAL,125448,259810,False,20230706,False
28436,2018,CALIFORNIA,CA,6,93,71,US HOUSE,50,GEN,,False,DUNCAN HUNTER,REPUBLICAN,False,TOTAL,134362,259810,False,20230706,False
28437,2018,CALIFORNIA,CA,6,93,71,US HOUSE,51,GEN,,False,JUAN M HIDALGO JR,REPUBLICAN,False,TOTAL,44301,153828,False,20230706,False
28438,2018,CALIFORNIA,CA,6,93,71,US HOUSE,51,GEN,,False,JUAN VARGAS,DEMOCRAT,False,TOTAL,109527,153828,False,20230706,False
28439,2018,CALIFORNIA,CA,6,93,71,US HOUSE,52,GEN,,False,OMAR QUDRAT,REPUBLICAN,False,TOTAL,107015,296007,False,20230706,False
28440,2018,CALIFORNIA,CA,6,93,71,US HOUSE,52,GEN,,False,SCOTT PETERS,DEMOCRAT,False,TOTAL,188992,296007,False,20230706,False
28441,2018,CALIFORNIA,CA,6,93,71,US HOUSE,53,GEN,,False,MORGAN MURTAUGH,REPUBLICAN,False,TOTAL,83127,268794,False,20230706,False
28442,2018,CALIFORNIA,CA,6,93,71,US HOUSE,53,GEN,,False,SUSAN A DAVIS,DEMOCRAT,False,TOTAL,185667,268794,False,20230706,False
28443,2018,COLORADO,CO,8,84,62,US HOUSE,1,GEN,,False,CHARLES CASPER STOCKHAM,REPUBLICAN,False,TOTAL,85207,369693,False,20230706,False
