year,state,district,c1,c2,c1_party,c2_party,c1_votes,c2_votes,winner,winner_party
2018,ILLINOIS,12,MIKE BOST,BRENDAN KELLY,REPUBLICAN,DEMOCRAT,134884,118724.0,MIKE BOST,REPUBLICAN
2018,ILLINOIS,13,RODNEY DAVIS,BETSY DIRKSEN LONDRIGAN,REPUBLICAN,DEMOCRAT,136516,134458.0,RODNEY DAVIS,REPUBLICAN
2018,ILLINOIS,14,LAUREN UNDERWOOD,"RANDALL M ""RANDY"" HULTGREN",DEMOCRAT,REPUBLICAN,156035,141164.0,LAUREN UNDERWOOD,DEMOCRAT
2018,ILLINOIS,15,JOHN M SHIMKUS,KEVIN GAITHER,REPUBLICAN,DEMOCRAT,181294,74309.0,JOHN M SHIMKUS,REPUBLICAN
2018,ILLINOIS,16,ADAM KINZINGER,SARA DADY,REPUBLICAN,DEMOCRAT,151254,104569.0,ADAM KINZINGER,REPUBLICAN
2018,ILLINOIS,17,CHERI BUSTOS,"WILLIAM W ""BILL"" FAWELL",DEMOCRAT,REPUBLICAN,142659,87090.0,CHERI BUSTOS,DEMOCRAT
2018,ILLINOIS,18,DARIN LAHOOD,JUNIUS RODRIGUEZ,REPUBLICAN,DEMOCRAT,195927,95486.0,DARIN LAHOOD,REPUBLICAN
2018,INDIANA,1,PETER J VISCLOSKY,MARK LEYVA,DEMOCRAT,REPUBLICAN,159611,85594.0,PETER J VISCLOSKY,DEMOCRAT
2018,INDIANA,2,JACKIE WALORSKI,MEL HALL,REPUBLICAN,DEMOCRAT,125499,103363.0,JACKIE WALORSKI,REPUBLICAN
2018,INDIANA,3,JIM BANKS,COURTNEY TRITCH,REPUBLICAN,DEMOCRAT,158927,86610.0,JIM BANKS,REPUBLICAN
2018,INDIANA,4,JIM BAIRD,TOBI BECK,REPUBLICAN,DEMOCRAT,156539,87824.0,JIM BAIRD,REPUBLICAN
2018,INDIANA,5,SUSAN W BROOKS,DEE THORNTON,REPUBLICAN,DEMOCRAT,180035,137142.0,SUSAN W BROOKS,REPUBLICAN
2018,INDIANA,6,GREG PENCE,JEANNINE LEE LAKE,REPUBLICAN,DEMOCRAT,154260,79430.0,GREG PENCE,REPUBLICAN
2018,INDIANA,7,ANDRE D CARSON,"WAYNE ""GUNNY"" HARMON",DEMOCRAT,REPUBLICAN,141139,76457.0,ANDRE D CARSON,DEMOCRAT
2018,INDIANA,8,LARRY D BUCSHON,WILLIAM TANOOS,REPUBLICAN,DEMOCRAT,157396,86895.0,LARRY D BUCSHON,REPUBLICAN
2018,INDIANA,9,TREY HOLLINGSWORTH,LIZ WATSON,REPUBLICAN,DEMOCRAT,153271,118090.0,TREY HOLLINGSWORTH,REPUBLICAN
2018,IOWA,1,ABBY FINKENAUER,ROD BLUM,DEMOCRAT,REPUBLICAN,170342,153442.0,ABBY FINKENAUER,DEMOCRAT
2018,IOWA,2,DAVE LOEBSACK,CHRISTOPHER PETERS,DEMOCRAT,REPUBLICAN,171446,133287.0,DAVE LOEBSACK,DEMOCRAT
2018,IOWA,3,CINDY AXNE,DAVID YOUNG,DEMOCRAT,REPUBLICAN,175642,167933.0,CINDY AXNE,DEMOCRAT
2018,IOWA,4,STEVE KING,JD SCHOLTEN,REPUBLICAN,DEMOCRAT,157676,147246.0,STEVE KING,REPUBLICAN
2018,KANSAS,1,ROGER MARSHALL,ALAN LAPOLICE,REPUBLICAN,DEMOCRAT,153082,71558.0,ROGER MARSHALL,REPUBLICAN
2018,KANSAS,2,STEVE WATKINS,PAUL DAVIS,REPUBLICAN,DEMOCRAT,126098,123859.0,STEVE WATKINS,REPUBLICAN
2018,KANSAS,3,SHARICE DAVIDS,KEVIN YODER,DEMOCRAT,REPUBLICAN,170518,139762.0,SHARICE DAVIDS,DEMOCRAT
2018,KANSAS,4,RON ESTES,JAMES A THOMPSON,REPUBLICAN,DEMOCRAT,144248,98445.0,RON ESTES,REPUBLICAN
2018,KENTUCKY,1,JAMES R COMER,PAUL WALKER,REPUBLICAN,DEMOCRAT,172167,78849.0,JAMES R COMER,REPUBLICAN
2018,KENTUCKY,2,S BRETT GUTHRIE,HANK LINDERMAN,REPUBLICAN,DEMOCRAT,171700,79964.0,S BRETT GUTHRIE,REPUBLICAN
2018,KENTUCKY,3,JOHN A YARMUTH,VICKIE YATES B GLISSON,DEMOCRAT,REPUBLICAN,173002,101930.0,JOHN A YARMUTH,DEMOCRAT
