year,state,district,c1_x,c2_x,c1_party_x,c2_party_x,c1_votes,c2_votes,winner,winner_party,c1_y,c2_y,c1_party_y,c2_party_y,c1_pct,c2_pct
2018,GEORGIA,14,TOM GRAVES,STEVEN LAMAR FOSTER,REPUBLICAN,DEMOCRAT,175743.0,53981.0,TOM GRAVES,REPUBLICAN,,,,,,
2018,HAWAII,1,ED CASE,CAM CAVASSO,DEMOCRAT,REPUBLICAN,134650.0,42498.0,ED CASE,DEMOCRAT,,,,,,
2018,HAWAII,2,TULSI GABBARD,BRIAN EVANS,DEMOCRAT,REPUBLICAN,153271.0,44850.0,TULSI GABBARD,DEMOCRAT,,,,,,
2018,IDAHO,1,RUSS FULCHER,CRISTINA MCNEIL,REPUBLICAN,DEMOCRAT,197719.0,96922.0,RUSS FULCHER,REPUBLICAN,RUSS FULCHER,CRISTINA MCNEIL,REP,DEM,35.0,27.0
2018,IDAHO,2,MIKE SIMPSON,AARON SWISHER,REPUBLICAN,DEMOCRAT,170274.0,110381.0,MIKE SIMPSON,REPUBLICAN,MIKE SIMPSON,AARON SWISHER,REP,DEM,59.0,23.0
2018,ILLINOIS,1,BOBBY L RUSH,JIMMY LEE TILLMAN II,DEMOCRAT,REPUBLICAN,189560.0,50960.0,BOBBY L RUSH,DEMOCRAT,,,,,,
2018,ILLINOIS,2,ROBIN KELLY,DAVID MERKLE,DEMOCRAT,REPUBLICAN,190684.0,44567.0,ROBIN KELLY,DEMOCRAT,,,,,,
2018,ILLINOIS,3,DANIEL WILLIAM LIPINSKI,ARTHUR J JONES,DEMOCRAT,REPUBLICAN,163053.0,57885.0,DANIEL WILLIAM LIPINSKI,DEMOCRAT,,,,,,
2018,ILLINOIS,4,"JESUS ""CHUY"" GARCIA",MARK WAYNE LORCH,DEMOCRAT,REPUBLICAN,143895.0,22294.0,"JESUS ""CHUY"" GARCIA",DEMOCRAT,,,,,,
2018,ILLINOIS,5,MIKE QUIGLEY,TOM HANSON,DEMOCRAT,REPUBLICAN,213992.0,65134.0,MIKE QUIGLEY,DEMOCRAT,,,,,,
