,year,state,district,c1_x,c2_x,c1_party_x,c2_party_x,c1_votes,c2_votes,winner,winner_party,c1_y,c2_y,c1_party_y,c2_party_y,c1_pct,c2_pct
149,2018,WEST VIRGINIA,1,DAVID B MCKINLEY,KENDRA FERSHEE,REPUBLICAN,DEMOCRAT,198214,198214,DAVID B MCKINLEY,REPUBLICAN,DAVID B. MCKINLEY,DAVID B. MCKINLEY,REP,REP,72.0,72.0
150,2018,WEST VIRGINIA,2,ALEX X MOONEY,"DANIEL P ""DANNY"" LUTZ JR",REPUBLICAN,MOUNTAIN,204792,204792,ALEX X MOONEY,REPUBLICAN,ALEXANDER X. MOONEY,ALEXANDER X. MOONEY,REP,REP,52.0,52.0
151,2018,WEST VIRGINIA,3,CAROL MILLER,RICHARD OJEDA II,REPUBLICAN,DEMOCRAT,174985,174985,CAROL MILLER,REPUBLICAN,CAROL MILLER,CAROL MILLER,REP,REP,52.1,48.0
152,2018,WISCONSIN,1,BRYAN STEIL,KEN YORGAN,REPUBLICAN,INDEPENDENT,325317,325317,BRYAN STEIL,REPUBLICAN,BRYAN STEIL,BRYAN STEIL,REP,REP,50.01,49.46
153,2018,WISCONSIN,6,DAN KOHL,GLENN GROTHMAN,DEMOCRAT,REPUBLICAN,325065,325065,DAN KOHL,DEMOCRAT,GLENN GROTHMAN,GLENN GROTHMAN,REP,REP,61.0,50.0
154,2020,ARIZONA,6,DAVID SCHWEIKERT,HIRAL TIPIRNENI,REPUBLICAN,DEMOCRAT,417427,417427,DAVID SCHWEIKERT,REPUBLICAN,DAVID SCHWEIKERT,HIRAL TIPIRNENI,REP,DEM,49.0,49.0
155,2020,ARKANSAS,2,J FRENCH HILL,JOYCE ELLIOTT,REPUBLICAN,DEMOCRAT,332503,332503,J FRENCH HILL,REPUBLICAN,FRENCH HILL,FRENCH HILL,REP,REP,50.0,50.0
156,2020,CALIFORNIA,1,AUDREY DENNEY,DOUG LAMALFA,DEMOCRAT,REPUBLICAN,358263,358263,AUDREY DENNEY,DEMOCRAT,DOUG LAMALFA,DOUG LAMALFA,REP,REP,49.0,46.0
157,2020,CALIFORNIA,4,BRYNNE S KENNEDY,TOM MCCLINTOCK,DEMOCRAT,REPUBLICAN,442022,442022,BRYNNE S KENNEDY,DEMOCRAT,TOM MCCLINTOCK,TOM MCCLINTOCK,REP,REP,49.0,46.0
158,2020,CALIFORNIA,8,CHRISTINE BUBSER,JAY OBERNOLTE,DEMOCRAT,REPUBLICAN,283111,283111,CHRISTINE BUBSER,DEMOCRAT,JAY OBERNOLTE,CHRISTINE BUBSER,REP,DEM,48.0,38.0
